"diplome_r","Delai_r","sexe_r","StatutP_r","StatutM_r","Conseil_r","Diff2_r","Exppro_r","Abs1_r","Abs2_r"
">=BAC+3","Facile","Homme","prof_interm","employe","un","Plutot dificile",NA,2,2
">=BAC+3","Facile","Femme","ing-cadre-prof_lib","ing-cadre-prof_lib","aucun","Plutot dificile",NA,3,3
">=BAC+3","Facile","Homme","ouvrir","employe","un","Plutot facile",NA,0,0
">=BAC+3","Facile","Femme","prof_interm","ing-cadre-prof_lib","un","Plutot facile",NA,0,7
"BAC+2","Facile","Homme","employe","employe","aucun","Plutot facile",NA,0,0
"BAC+2","Facile","Femme","artis-commerc","ing-cadre-prof_lib","aucun","Plutot facile",NA,9,9
"BAC","Facile","Femme","ouvrir","employe","aucun","Plutot dificile",NA,0,0
"BAC+2","Facile","Femme",NA,"employe","un","Tres facile",NA,3,11
">=BAC+3","Facile","Femme",NA,"ing-cadre-prof_lib","aucun","Plutot facile",NA,5,5
"BAC+2","Facile","Femme","prof_interm","prof_interm","aucun","Plutot facile",NA,0,22
"BAC+2","Facile","Femme","ouvrir","employe","aucun","Plutot facile",NA,0,29
"BAC+2","Facile","Femme","prof_interm","employe","aucun","Plutot dificile",NA,1,1
"BAC+2","Facile","Homme","ing-cadre-prof_lib","ing-cadre-prof_lib","aucun","Plutot facile",NA,7,7
"BAC+2","Facile","Femme","ing-cadre-prof_lib","employe","aucun","Plutot facile",NA,0,25
">=BAC+3","Facile","Homme","ing-cadre-prof_lib","employe","aucun","Plutot facile",NA,2,2
">=BAC+3","Facile","Femme","employe",NA,"un","Plutot facile",NA,0,0
"CAP","Dificile","Homme","employe","ouvrir","aucun","Plutot facile",NA,3,NA
"BAC+2","Facile","Homme","ing-cadre-prof_lib","ing-cadre-prof_lib","un","Plutot facile",NA,0,0
"BAC+2","Facile","Homme","artis-commerc","employe","un","Plutot facile",NA,0,10
"BAC+2","Facile","Homme","ing-cadre-prof_lib","prof_interm","aucun","Plutot dificile",NA,6,6
"BAC+2","Facile","Homme",NA,"prof_interm","aucun","Tres dificile",NA,0,7
"BAC+2","Dificile","Femme","ouvrir","employe","aucun","Plutot dificile",NA,0,19
"BAC","Facile","Homme","prof_interm","employe","un","Plutot dificile",NA,0,20
"Aucun","Dificile","Homme","artis-commerc","employe","aucun","Plutot dificile",NA,66,66
"BAC+2","Facile","Femme","ouvrir","prof_interm","aucun","Tres facile",NA,4,4
"BAC+2","Facile","Femme","artis-commerc","employe","aucun","Plutot facile",NA,0,6
"BAC+2","Facile","Homme","NSP","employe","aucun","Plutot facile",NA,11,29
"BAC","Facile","Homme","ing-cadre-prof_lib","ing-cadre-prof_lib","aucun","Plutot facile",NA,0,0
"CAP","Facile","Homme","NSP","NSP","aucun","Plutot facile",NA,0,15
"CAP","Facile","Homme","ouvrir","ouvrir","aucun","Plutot facile",NA,0,48
"CAP","Dificile","Homme","employe","ing-cadre-prof_lib","aucun","Plutot facile",NA,5,41
"CAP","Facile","Homme","ing-cadre-prof_lib","employe","aucun","Plutot facile",NA,0,0
"CAP","Facile","Homme","ouvrir","employe","aucun","Plutot facile",NA,0,18
"CAP","Facile","Homme","ouvrir","employe","aucun","Plutot facile",NA,0,0
"Aucun","Dificile","Homme","ing-cadre-prof_lib","prof_interm","aucun","Tres dificile",NA,67,67
"CAP","Facile","Homme","ouvrir","employe","aucun","Plutot facile",NA,0,16
"CAP","Dificile","Homme","ouvrir","ouvrir","aucun","Plutot facile",NA,3,21
"CAP","Facile","Homme","ouvrir","ouvrir","aucun","Plutot facile",NA,0,61
"CAP","Dificile","Homme","ouvrir","employe","aucun","Plutot facile",NA,13,NA
"CAP","Facile","Homme","agric","agric","aucun","Tres facile",NA,0,6
"CAP","Facile","Femme","artis-commerc","employe","aucun","Plutot facile",NA,0,30
"Aucun","Facile","Homme","employe","employe","aucun","Plutot facile",NA,0,31
"CAP","Dificile","Homme","NSP","ouvrir","aucun","Tres dificile",NA,0,0
"CAP","Facile","Homme","ing-cadre-prof_lib","employe","aucun","Plutot facile",NA,0,6
"CAP","Facile","Homme","employe","ouvrir","aucun","Plutot facile",NA,21,70
"Aucun","Facile","Femme","employe","employe","aucun","Tres facile",NA,3,10
"CAP","Facile","Homme","ouvrir","ouvrir","aucun","Plutot dificile",NA,0,59
"Aucun","Dificile","Homme","ouvrir","ouvrir","aucun","Plutot dificile",NA,42,NA
